np,title,date,appends,subindex_count
http://purl.org/np/RA_AWcwm57iWtR5GbfhFAV2L2xsGMid8usbrtE-2h7Rzk,"Nanopublications extracted from WikiPathways, incremental dataset, 20180110",2018-03-30T08:57:30.074+02:00,,3
http://purl.org/np/RAtx2TuK8OQBpdA0s4N0vbQtn7EnR5SJ9wHnqeCwiS66c,Nanopubs covering pathwayParticipation extracted from WikiPathways version 20180110,2018-03-30T08:57:29.752+02:00,http://purl.org/np/RA0fCJ4VUx9ztWOS0vJqqTCHabp0ZgpkKu4kJFJkQOpbA,0
http://purl.org/np/RAviMsz7k0GorXIUUpz_70L1PjlXYYSugmQLOhL7I4_2w,Nanopubs covering interactions extracted from WikiPathways version 20180110,2018-03-30T08:57:17.703+02:00,http://purl.org/np/RA2qd2vaVKVaxnf0e5I1sZ4fBMQ_-bsGdxFzpLRACoM5s,0
http://purl.org/np/RANZaA3Io8uQjnyqmiIWuazXFdugH_hwbB2N5_LuF8bsY,Nanopubs covering complexes extracted from WikiPathways version 20180110,2018-03-30T08:56:56.916+02:00,,0
http://purl.org/np/RA6QNVGZTuDN0g-zEKm02oLlqPO9JVz6cA4J760Bs0Zc4,"Nanopublications extracted from WikiPathways, incremental dataset, 20171210",2017-12-18T09:44:46.088+01:00,,3
http://purl.org/np/RAjiRqNKwIGPRUinw1kgAr5_hLaTrnJqqWLMO1lMfpzYA,Nanopubs covering pathwayParticipation extracted from WikiPathways version 20171210,2017-12-18T09:44:45.799+01:00,http://purl.org/np/RAW7DoUxhMyoitLfeKLp2AaS_YjoN2l0ALzJxrrg6ENsc,0
http://purl.org/np/RAvqkqpEDxgu_CAx00IZSc8MYQqizkQaL4TsB72ThOCqQ,Nanopubs covering interactions extracted from WikiPathways version 20171210,2017-12-18T09:44:35.449+01:00,http://purl.org/np/RA6sukAKArG4DST7-YhQs05qZjEsazsP0fET5KMKPp2eU,0
http://purl.org/np/RAaeLg9HD-3KD_lG6iJwHXhH_nGQ-1o3DCZRRmzDY-at8,Nanopubs covering complexes extracted from WikiPathways version 20171210,2017-12-18T09:44:18.657+01:00,,0
http://purl.org/np/RA02JkPYQWNKYOl1rFM-bAoW34J--0-WMabwzAiYUfs7E,"Nanopublications extracted from WikiPathways, incremental dataset, 20171116",2017-12-18T09:37:40.509+01:00,,3
http://purl.org/np/RA9PgElv4BBEaEFSBrrs_cNlpM6C00kanqjiZKYqHtdLg,Nanopubs covering pathwayParticipation extracted from WikiPathways version 20171116,2017-12-18T09:37:40.233+01:00,http://purl.org/np/RAIKCzJrg5JT6WBbjqgXDUgqQkHMv2kfg-9F4KGUQwDd4,0
http://purl.org/np/RAEPIhZ2sqkfW2bksN7HGCnPsc-2c5Dl0i0hZijTHbO_I,Nanopubs covering interactions extracted from WikiPathways version 20171116,2017-12-18T09:37:30.159+01:00,http://purl.org/np/RALnwc9Hx5mDSFLkjyMmLGLr_FjyAPeMXRMH9M6yN0S74,0
http://purl.org/np/RAmV1dLULcQ1Y0XJ2a4XU8Um1seA_W6OLzM7F50qj5YQ4,Nanopubs covering complexes extracted from WikiPathways version 20171116,2017-12-18T09:37:13.161+01:00,,0
